TAl_mgL,TBa_mgL,TCu_mgL,TSr_mgL,DO_mgL,pH,Lag1_Rain_Total_mm,Lag1_Q_Sum_cms,Date_fake
-0.8404231747303118,-1.3170185879999134,-0.21320071635561091,-2.1296680905385403,-0.18131580859636032,0.2105307634878005,-0.6607365182731998,0.8586826192734774,2021-06-12
-0.73323876983717,-1.2509370167522187,-0.21320071635561091,-1.6958468128362467,-0.0851150049471565,0.41190801551961204,-0.4963529579919837,3.6472869260109504,2021-06-19
-0.73323876983717,-1.0102112929213312,-0.21320071635561091,-1.159949940380469,-0.5280519646177045,0.6132852675514205,-0.26151930044738925,1.2333207923782945,2021-06-26
-2.233820438341147,-1.029091741849244,-0.21320071635561091,-1.0068365482502482,-0.3955926579058569,0.9489140209377691,0.31773705482927705,0.2443072514981463,2021-07-03
-0.4116855551577464,-0.8308470281061602,-0.21320071635561091,-0.5985341692363221,-0.27129534424618507,1.0496026469536748,-0.37893612921968645,0.07836538222295332,2021-07-10
0.5172459539161441,-0.9158090482817676,-0.21320071635561091,-0.8537231561200254,0.2627239303221742,1.2845427743241178,-0.3945917063893261,-0.08796693850935752,2021-07-17
0.05278019937919854,-0.8119665791782474,-0.21320071635561091,-0.4964585744828414,-0.18292054675913738,1.4859200263559291,-0.4259028607286054,-0.25156609904184146,2021-07-24
0.33860527909424193,-0.4107570394601016,-0.21320071635561091,-0.19023179022239778,0.29007956587892575,0.5125966415355148,0.6856431183158083,-0.31638104092344627,2021-07-31
0.21355680671890878,-0.18891176455712705,-0.21320071635561091,-0.03711839809217509,-0.40524637258183704,-0.09153511455991378,-0.6372531525187404,-0.6312801410891942,2021-08-07
0.08850833434357563,0.032933510345847836,-0.21320071635561091,0.11599499403804583,-0.1678801604058013,1.7544230290650091,-0.32414160912594775,-0.6962903086993579,2021-08-14
0.3743334140586221,0.13205586721738966,-0.21320071635561091,0.42222177829848945,-0.34827848165958847,-0.024409363882645266,2.6504180531055814,0.3097078705654279,2021-08-21
0.23142087420110072,0.59934697818323035,-0.21320071635561091,0.32014618354500884,-0.5429187756439379,-0.3600381172689938,-0.6450809411035602,-0.4378114440871753,2021-08-28
0.017052064414818352,0.6654285494309249,-0.21320071635561091,0.32014618354500884,-0.6141286392967485,-0.6956668706553454,0.5995374438827906,-0.38431959446199554,2021-09-04
-0.6260543649440324,1.123279435932809,-0.21320071635561091,1.1367509415728592,-0.6046339908097071,-0.8299183720098854,-0.6372531525187404,-0.6640780634871146,2021-09-11
0.6601584937736654,0.5710263047913611,-0.21320071635561091,0.8305241573124155,-0.5334241271568965,-0.8634812473485196,-0.5433196895009026,-0.7870702724793162,2021-09-18
-0.16158861040708383,1.2507224661962197,-0.21320071635561091,1.4429777258333027,-0.3862570756077542,-0.8299183720098854,2.9948407508376538,1.0476611245186376,2021-09-25
-0.268773015300225,1.2578026345441875,-0.21320071635561091,1.1622698402612284,-0.3672677786336713,-1.031295624041694,-0.6607365182731998,-0.40891803626043594,2021-10-02
-0.3759574201933662,1.2648828028921548,-0.21320071635561091,0.8815619546891558,-0.2960579149808606,-1.1991100007348683,-0.11279131733581284,-0.4854465218555837,2021-10-09
0.05278019937919854,1.482007965563151,-0.21320071635561091,1.1877887389495994,-0.1156595937270734,-1.0984213747189655,-0.6215975753491008,-0.5502614637371883,2021-10-16
-0.947607579623453,1.1374397726287433,-0.21320071635561091,0.9836375494426364,0.017265485091506636,-1.434050128105314,-0.5433196895009026,-0.685162442171492,2021-10-23
2.446565241992686,-0.15115086670130146,-0.21320071635561091,0.26910838616826854,1.4319681096606798,-1.0648584993803283,-0.1519302602599119,-0.6080482793906671,2021-10-30
2.339380837099544,-1.6002253219186047,4.477215043467819,-0.9047609534967657,4.02400714662299,1.2509798989854835,0.2472869575658987,-0.42473132027371907,2021-11-06
