TAl_mgL,TBa_mgL,TCu_mgL,TSr_mgL,DO_mgL,Turbidity_NTU,Lag1_Rain_Total_mm,Lag1_Q_Sum_cms,Date_fake
1.4101716606370491,-1.275215729368645,2.3319353603409327,-1.5693341572803865,-0.5996496913704557,-1.2311474291732152,-0.24978833031637898,1.46260914764576,2020-06-12
2.6595059360486033,-0.7395358430527614,2.6750964167121736,-1.0027255446955632,-0.899233351278666,-1.2311474291732152,1.737708307193233,1.4586426858349841,2020-06-19
2.578027613739154,-0.8913118108422631,2.3319353603409327,-1.4560124347634207,-0.8970308549117473,-1.227042639033895,1.9755284176644685,1.9499637586583087,2020-06-26
0.3944085758459171,-0.49847989421061367,-0.07019203425775403,-0.7760820996616394,-0.7930167515548511,-0.5430254998682098,-0.9462615109821405,1.4965516569117436,2020-07-03
0.3183621416904313,-0.8377438222106738,-0.41335309062899517,-1.172708128471015,-0.571324003780537,-0.3342894667255519,-0.9462615109821405,1.343095101609594,2020-07-10
-0.3226006604772359,-1.025231782421233,-0.41335309062899517,-0.7760820996616394,-0.39297714484988044,-0.5235806029577895,-0.6319992221451506,1.2897104270743966,2020-07-17
0.04676773399226688,0.7335838443159189,-0.41335309062899517,-0.20947348707681612,-0.8122696790007623,1.5516368715681497,-0.4706212900396692,0.7908790863962423,2020-07-24
-0.094461358010778207,0.13094397221054982,-0.41335309062899517,0.2721438336202872,-0.77533056880865,-0.684445060676672,-0.17334615195062464,-0.7993469799043442,2020-07-31
-0.2356904500138231,-0.47169589989481997,-0.41335309062899517,0.7537611543173887,-0.40631245266857,-0.5952666071573846,0.6250499332028093,-0.7993469799043442,2020-08-07
-0.6159226207912524,-0.16814396431581913,-0.41335309062899517,1.263708905643728,-0.06683615971061929,-0.2614438820299048,-0.564050619153369,-0.7993469799043442,2020-08-14
-0.8603575877195997,-1.2662877312633807,-0.41335309062899517,-0.15281262581832827,0.12476322048853225,0.0520977038428119,0.9053379205439084,-0.7993469799043442,2020-08-21
-0.7435719924093893,-0.7261438458948646,-0.41335309062899517,-0.03949090330136441,0.24963616681935913,0.008378349941817726,-0.8613257572424134,-0.7520420460135332,2020-08-28
-0.6267863970991788,-0.18599996052634848,-0.41335309062899517,0.07383081921559946,0.374509113150186,-0.03534100395917664,1.0497287019014445,-0.527156666135361,2020-09-04
-0.49461045201940584,0.6919198531580165,-0.41335309062899517,0.26270035674387454,0.08179521634184272,-0.08464220825320089,-0.9462615109821405,-0.5484845263637954,2020-09-11
-0.3497601012470523,1.3942557041055086,-0.41335309062899517,0.35713512550801113,-0.8971592816345891,-0.1891106875044042,-0.6659735236410412,-0.6178000721062074,2020-09-18
-0.47061961267273494,1.059455775158081,-0.41335309062899517,0.5412829245980799,-0.8642166542373748,-0.49840190997727457,-0.9377679356081677,-0.6150690656135419,2020-09-25
-0.5914791240984175,0.7246558462106539,-0.41335309062899517,0.7254307236881467,0.06195729429504821,0.6345254618819158,1.5508496489658339,-0.5844102665351674,2020-10-02
-0.7951749298720404,1.6085276586318622,-0.41335309062899517,1.7736566569700636,0.47586957620086096,1.9771408652999252,-0.9462615109821405,-0.6424766664863624,2020-10-09
-0.6648096141769217,1.5549596700002746,-0.41335309062899517,1.6036740731946215,0.6631324264944619,2.348579087191624,0.4466848503493825,-0.6257329957277591,2020-10-16
-0.5670356274055828,1.095167767579141,-0.41335309062899517,0.9379089534074554,1.142846198337789,1.3173691666369192,-0.9462615109821405,-0.6614961759888535,2020-10-23
-0.4692616406342441,0.6353758651580073,-0.41335309062899517,0.2721438336202872,1.6225599701811162,0.2861592460822146,-0.24129475494240624,-0.6424441545043068,2020-10-30
0.49489850669423757,-1.5430556725265872,-0.24177256244337422,-1.6826558797973503,3.1782874114975064,-0.737002325955482,1.2365873601288435,-0.37695130903876495,2020-11-06
