TAl_mgL,TBa_mgL,TCu_mgL,TSr_mgL,DO_mgL,pH,Turbidity_NTU,Lag1_Rain_Total_mm,Lag1_Q_Sum_cms,Date_fake
0.7106854880935991,-0.5762049057382006,0.12769424697789988,-1.3693714786481614,0.1817504402222923,0.3924469180473029,-0.6708317546859829,-0.5795009355663857,2.2608823873697075,2022-06-12
0.004377939351706156,3.9599800252862054,-0.4637317390250059,-0.8531909524287605,-0.5175058670064656,0.4532757606165261,-0.7139105784671431,0.5620516205493316,2.2144154969713585,2022-06-19
-0.9074008962969197,-0.435392069741878,-0.4637317390250059,-0.5716379381272741,-0.2862119637700577,-0.43952365305017776,-0.648039270509103,-0.9936925709712034,2.1246544770575215,2022-06-26
-0.7918232974118826,-0.40857057717114953,-0.4637317390250059,-1.0408929619630887,-0.21366567130534203,-0.7170191200882056,-0.7312389937598784,-0.902772455882341,1.6335592862269184,2022-07-03
-0.9972945843186152,-0.4789769951693109,-0.4637317390250059,-0.7124144452780158,-0.16031258831168174,-0.9483427164605249,-0.7451295490609614,0.8853231408652869,-0.44287214624968185,2022-07-10
0.09427162737340156,-0.2677577411748264,-0.4637317390250059,-0.5247124357436878,-0.19679234334636414,-0.8679278401245571,-0.7146131837554571,0.3195979803123649,-0.42785173396879816,2022-07-17
-0.4707744116201129,-0.276139457603179,-0.4637317390250059,-0.17277116786682487,-0.4092159397842551,-1.004360788345561,-0.669606206276228,-0.650216580635501,-0.4750816934402399,2022-07-24
-1.0358204506136275,-0.28452117403153154,-0.4637317390250059,0.17917010001003958,-0.5406079303757138,-0.6339602176287882,-0.5981777797666229,-0.6300121106157537,-0.4936764819056119,2022-07-31
-1.010136539750286,0.023925990531842665,-0.4637317390250059,0.2730211047772044,-0.5386945989682503,-0.4554955317122951,-0.6008670561233606,1.723808646684796,-0.44805298364068175,2022-08-07
-0.7404554756851994,-0.10347609917911618,-0.4637317390250059,0.5076486166951141,-0.5363168399919744,-0.39796966926877486,-0.3850832380226276,1.5217639464873238,-0.4374503396777051,2022-08-14
-0.8046652528435547,-0.09341803946509306,-0.4637317390250059,0.6484251238458588,-0.53643298235853,-0.5801323364618624,-0.09166549103528991,0.42062033041110086,-0.42901641834351906,2022-08-21
-0.6248778768001624,0.007162557675137531,-0.4637317390250059,0.6953506262294404,-0.5417376807069918,-0.13427180188825694,-0.7565366809137877,-0.4279674104182817,-0.48367626089507704,2022-08-28
-0.4579324561884422,0.04404210995988892,-0.4637317390250059,0.5545741190786957,-0.5272795576170652,-0.5186421451468546,0.6128069097679798,-1.0442037460205715,-0.510544324573984,2022-09-04
0.004377939351706156,0.14462270710011926,-0.4637317390250059,1.3053821572160014,-0.5386621580404409,-0.6244642118091276,1.0174466429894755,2.4107606273562006,-0.37427625273163545,2022-09-11
-0.48361636705178374,0.2887882296677837,-0.4637317390250059,1.3053821572160014,-0.5272014604794325,-0.502427157666274,1.2947440980002383,0.03673540003590395,-0.42327331953024,2022-09-18
-0.5093002779151252,0.41283763280740143,-0.4637317390250059,1.446158664366751,-0.5356031425989699,-0.389903941656412,1.863415176207702,-1.0442037460205715,-0.5081346327642166,2022-09-25
0.004377939351706156,0.6877579316573654,-0.4637317390250059,1.6807861762846605,-0.20288413810226327,0.2085454029911008,1.1280398236283806,0.3398024503321122,-0.5025923416017515,2022-10-02
0.9418406858636723,0.41283763280740143,-0.4637317390250059,0.6484251238458588,-0.5318338718591467,0.0725532684543209,2.059365372837952,0.9459365509245284,-0.34355268215710066,2022-10-09
1.7251999671955913,0.05410016967391182,1.6062592119851653,0.17917010001003958,0.09748038262548095,0.5064194162161066,1.5574641306856343,-0.7209322257046161,-0.49002178266079804,2022-10-16
1.6481482346055665,-1.0623444585826491,1.0148332259822594,-1.3693714786481614,2.9838365489033305,2.6637035258773833,-0.7184473542179697,-0.5188875255071441,-0.4814272152059608,2022-10-23
1.7829887666381101,-1.0371993092975913,2.0498287014873453,-1.392834229839953,2.3583126599242727,2.036740096372448,-0.7439998382200111,-0.953283630931709,-0.48455981455865843,2022-10-30
1.917829298670653,-1.012054160012534,3.0848241769924316,-1.416296981031743,1.7195787029475684,1.880756742732514,-0.7451351793029408,-0.700727755684869,-0.47745122371984455,2022-11-06
