TAl_mgL,TBa_mgL,TCu_mgL,TSr_mgL,DO_mgL,pH,Turbidity_NTU,Lag1_Rain_Total_mm,Date_fake
-0.45122254089059655,-1.0894954638438052,-0.2883688735117331,-1.2930772057683741,-0.2570500784359844,1.066458895935139,-0.44702180964266514,-0.826617916599552,2023-06-12
-0.5023093452555075,-0.09248688148079863,-0.2883688735117331,-0.6865925368978277,-0.2570500784359844,1.066458895935139,-0.44702180964266514,-0.6750712985563008,2023-06-19
0.19101157112542702,-0.3315654701086626,-0.2883688735117331,-0.5795658306265593,-0.25179961882910273,1.066458895935139,-0.47136520176257324,2.989601465035047,2023-06-26
-0.26876966815877174,-0.6978135207726242,-0.2883688735117331,-0.29416128056982943,-0.22624419015281136,1.3496662758627616,-0.5104319962002126,-0.8679488124295296,2023-07-03
0.3004832947645218,-1.0284541220664782,-0.2883688735117331,-0.25848571181273894,-0.2391160767450203,1.6328736557903802,-0.4547684810550958,-0.24798537497986556,2023-07-10
-0.15199982961040376,-1.1454500271396884,-0.2883688735117331,-0.29416128056982943,-0.2519879633372292,0.49253082097340173,-0.399104965909979,1.308811701282624,2023-07-17
0.3150795245830679,-0.6062515081066335,-0.2883688735117331,-0.008756730513103961,-0.23411991060209625,0.27092890220392,-0.3835142234152283,1.0608263263027586,2023-07-24
3.9831120779836744,-0.07315712325131185,1.720600945286673,0.7832408958943106,-0.21625185786696324,0.06168836540932158,-0.3658549510726366,1.3225886665592834,2023-07-31
0.6595505483007531,0.2849520818423401,-0.2883688735117331,0.7047546446287116,-0.29058436419875866,1.2407403605059828,-0.4795385139801723,-0.06888482638329588,2023-08-07
-0.5242036899833264,0.05502969448107479,-0.2883688735117331,0.4193500945719849,-0.239483225986452,0.7987304618740098,-0.4232266371552531,0.3168702013631615,2023-08-14
0.1457632586879344,0.29614299450151627,-0.2883688735117331,1.09718590095671,-0.2561051973620442,0.24671357865013538,-0.42370708576144017,-0.6475173680029823,2023-08-21
-0.12718623891887557,0.5647248983217551,-0.2883688735117331,1.1756721522223088,-0.24258791485588138,-0.44757881232545027,-0.4434844127529464,-0.8679488124295296,2023-08-28
-0.5752904943482373,0.5993149919955737,-0.2883688735117331,0.3479989570578038,-0.25475626624930126,-0.6619812529091179,-0.42166094867027576,-0.5786325416196864,2023-09-04
-0.30380061972328204,1.023552317347996,4.046776524947985,1.09718590095671,-0.23710629620693505,-1.3762925994207165,-0.285140669480064,-0.027553930553318354,2023-09-11
-0.5460980347111455,0.9350423717708716,-0.2883688735117331,0.49070123208616717,-0.2430325429380629,-0.732198435712869,-0.2710954972683888,0.7164021943862785,2023-09-18
-0.25417343834022643,1.3928524351008233,-0.2883688735117331,0.6334035071145293,-0.24167189087847837,-1.2768537799175916,-0.32389711935791393,0.7990639860462337,2023-09-25
-0.5825886092575104,1.6624516946173507,-0.2883688735117331,0.704754644628708,-0.23269670371843784,-1.337456354099647,-0.3976357530477736,-0.6475173680029823,2023-10-02
-0.7285509074429704,1.982918738948317,-0.2883688735117331,0.704754644628708,-0.2311096845128425,-0.8243447520166419,-0.2667768996896722,-0.6888482638329599,2023-10-09
1.0375929006010935,-1.0640615714365858,-0.2883688735117331,-0.7579436744120095,-0.23757637084152056,-0.5410313184594637,0.09290674387267284,-0.027553930553318354,2023-10-16
-0.5752904943482373,-0.580817615699414,-0.2883688735117331,-0.4368635555981928,0.45342109670134095,-0.8381703650536692,2.0885524756963387,-0.6337404027263231,2023-10-23
-0.5679923794389644,-0.20439600807256472,-0.2883688735117331,-0.29416128056982943,-0.24015769178651758,-1.5199681838812993,1.817494594767217,-0.8679488124295296,2023-10-30
-0.4731168856184155,-1.8830329069490555,-0.2883688735117331,-3.255233487408362,4.427066827239083,0.26262674472112857,3.2162931615287267,-0.8403948818762113,2023-11-06
